ADZ SKU,Excel Description,Issue,Excel Type,PDF Code,PDF Type,PDF SRP,Note
ARIV-TIRE-002,PREMIO ARZ1 - 185/70/13,TYPE MISMATCH,PREMIO ARZ1,5EAR106F,PREMIO COMFORT 6,2670,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR106F | PDF SRP: 2670
ARIV-TIRE-003,PREMIO ARZ1 - 185/65/14,TYPE MISMATCH,PREMIO ARZ1,5EAR113F,PREMIO COMFORT 6,2420,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR113F | PDF SRP: 2420
ARIV-TIRE-013,PREMIO ARZ1 - 185/55/15,TYPE MISMATCH,PREMIO ARZ1,5EAR120F,PREMIO COMFORT 6,2800,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR120F | PDF SRP: 2800
ARIV-TIRE-014,PREMIO ARZ1 - 185/60/15,TYPE MISMATCH,PREMIO ARZ1,5EAR121F,PREMIO COMFORT 6,2790,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR121F | PDF SRP: 2790
ARIV-TIRE-019,PREMIO ARZ1 - 205/70/15,TYPE MISMATCH,PREMIO ARZ1,5EAR129F,PREMIO COMFORT 6,3620,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR129F | PDF SRP: 3620
ARIV-TIRE-032,PREMIO ARZ1 - 195/50/16,TYPE MISMATCH,PREMIO ARZ1,3EAR261F,ULTRA ARZ5,3230,Excel type: PREMIO ARZ1 | PDF type: ULTRA ARZ5 | PDF code: 3EAR261F | PDF SRP: 3230
ARIV-TIRE-033,PREMIO ARZ1 - 195/60/16,TYPE MISMATCH,PREMIO ARZ1,5EAR133F,PREMIO COMFORT 6,3400,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR133F | PDF SRP: 3400
ARIV-TIRE-034,PREMIO ARZ1 - 205/50/16,TYPE MISMATCH,PREMIO ARZ1,2EAR059F,ULTRA ARZ4,3490,Excel type: PREMIO ARZ1 | PDF type: ULTRA ARZ4 | PDF code: 2EAR059F | PDF SRP: 3490
ARIV-TIRE-035,PREMIO ARZ1 - 205/60/16,TYPE MISMATCH,PREMIO ARZ1,5EAR134F,PREMIO COMFORT 6,3570,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 5EAR134F | PDF SRP: 3570
ARIV-TIRE-037,PREMIO ARZ1 - 215/55/16,TYPE MISMATCH,PREMIO ARZ1,8EAR180F,PREMIO COMFORT 6,3840,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 8EAR180F | PDF SRP: 3840
ARIV-TIRE-038,PREMIO ARZ1 - 215/65/16,TYPE MISMATCH,PREMIO ARZ1,8EAR182F,PREMIO COMFORT 6,4080,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 8EAR182F | PDF SRP: 4080
ARIV-TIRE-039,PREMIO ARZ1 - 215/70/16,TYPE MISMATCH,PREMIO ARZ1,3EAR575F,TRANSITO ARZ6-X,4740,Excel type: PREMIO ARZ1 | PDF type: TRANSITO | PDF code: 3EAR575F | PDF SRP: 4740
ARIV-TIRE-050,TRANSITO ARZ6-C - 7.50/16 LT,NOT IN PDF,TRANSITO ARZ6,-,-,-,Size not found in PDF price list at all
ARIV-TIRE-051,TRANSITO ARZ6-C - 235/65/16,NOT IN PDF,TRANSITO ARZ6,-,-,-,Size not found in PDF price list at all
ARIV-TIRE-087,TRANSITO ARZ 6 - 205/85/16 LT,NOT IN PDF,TRANSITO ARZ 6,-,-,-,Size not found in PDF price list at all
ARIV-TIRE-052,PRIMIO ARZ1 - 215/60/17,TYPE MISMATCH,PREMIO ARZ1,8EAR185F,PREMIO COMFORT 6,4220,Excel type: PREMIO ARZ1 | PDF type: COMPORT 6 | PDF code: 8EAR185F | PDF SRP: 4220
ARIV-TIRE-063,ULTRA ARZ5 - 235/40/18,TYPE MISMATCH,ULTRA ARZ5,6EAR892F,PREMIO SPORT 6,4460,Excel type: ULTRA ARZ5 | PDF type: PREMIO SPORT 6 | PDF code: 6EAR892F | PDF SRP: 4460
ARIV-TIRE-069,ULTRA ARZ4 - 235/55/18,TYPE MISMATCH,ULTRA ARZ4,3EAR466F,ULTRA ARZ5,5050,Excel type: ULTRA ARZ4 | PDF type: ULTRA ARZ5 | PDF code: 3EAR466F | PDF SRP: 5050
ARIV-TIRE-093,PREMIO SPORT 6 - 215/45/18,TYPE MISMATCH,PREMIO SPORT 6,3EAR242F,ULTRA ARZ5,4520,Excel type: PREMIO SPORT 6 | PDF type: ULTRA ARZ5 | PDF code: 3EAR242F | PDF SRP: 4520
ARIV-TIRE-092,PREMIO SPORT 6 - 235/45/18,TYPE MISMATCH,PREMIO SPORT 6,2EAR120F,ULTRA ARZ4,4520,Excel type: PREMIO SPORT 6 | PDF type: ULTRA ARZ4 | PDF code: 2EAR120F | PDF SRP: 4520
ARIVO-10101,PREMIO SPORT 6 - 245/35/20,TYPE MISMATCH,PREMIO SPORT 6,3EAR078F,ULTRA ARZ5,5480,Excel type: PREMIO SPORT 6 | PDF type: ULTRA ARZ5 | PDF code: 3EAR078F | PDF SRP: 5480
